lot_id,auction_id,sale_date,year,make,model,engine_cc,odometer,sold_price,hammer_price,lot_name
REC17209-6,263,2026-06-30,1988,Moto Morini,Excalibur 350,344,,322,280,c.1988 Moto Morini Excalibur 350 344cc ♢
REC17209-7,263,2026-06-30,1985,Moto Morini,350 K2,344,,690,600,c.1985 Moto Morini 350 K2 344cc ♢
REC17209-8,263,2026-06-30,1974,Moto Morini,350 Mk1,344,,1035,900,c.1974 Moto Morini 350 Mk1 344cc ♢
REC17209-9,263,2026-06-30,1975,Ducati,Scrambler,,,3220,2800,1975 Ducati Scrambler 350 340cc
REC17215-2,263,2026-06-30,2006,Harley Davidson,Springer Softail,1450,,11270,9800,"2006 Harley-Davidson FLSTCI Springer Softail 1,450cc"
REC17219-1,263,2026-06-30,1994,Triumph,Speed Tripple,885,,2875,2500,1994 Triumph Speed Triple 885cc
REC17219-2,263,2026-06-30,1998,Kawasaki,Vn800 Classic,805,,3450,3000,1998 Kawasaki VN800 Classic 805cc - 454 Miles
REC17225-2,263,2026-06-30,1957,Leopard,Bobby,47,,437,380,1957 Leopard Bobby 49cc
REC17226-1,263,2026-06-30,1978,Yamaha,Xs750,747,,1610,1400,1978 Yamaha XS750 747cc
REC17231-1,263,2026-06-30,1986,Suzuki,Rg500 Gamma,498,,24725,21500,1986 Suzuki RG500 Gamma 498cc
REC17234-1,263,2026-06-30,1976,Triumph,Bonneville,,,4370,3800,1976 Triumph Bonneville T140 'Desert Sled' 750cc
REC17234-2,263,2026-06-30,1949,Bsa,B31,,,2300,2000,1949 BSA B31-3 48cc
REC17236-2,263,2026-06-30,1991,Honda,Cbr1000F-K,998,,517,450,1991 Honda CBR1000F-K 998cc
REC17236-3,263,2026-06-30,1996,Honda,C90T Cub,98,,1725,1500,1996 Honda C90T Cub 89cc
REC17236-4,263,2026-06-30,2000,Harley-Davidson,Silent Grey Fellow Tribute,,,862,750,Harley-Davidson 'Silent Grey Fellow' Tribute Bike
REC17205-2,263,2026-07-01,1979,Kawasaki,Kh250B,249,,4025,3500,1979 Kawasaki KH250B 249cc
REC17302-1,263,2026-07-14,1973,Honda,St70,72,,2185,1900,1973 Honda ST70 72cc
REC16929-13,263,2026-07-17,1953,Vincent,Series C Black Shadow,998,,4140,3600,1953 Vincent Series C Black Shadow Upper Frame and Girdraulic Forks
